description,Location
Milk & India St (Opp Coogans),"(42.35855407, -71.05320369)"
Milk & Oliver St (On Island),"(42.35732731, -71.055)"
Milk St and Surface Rd (across from Granary Tavern),"(42.35876064, -71.05215921)"
Missing not in location,
Mozart Playground @ Mozart & Centre,"(42.32271339, -71.10459868)"
Myrtle Street Playground,"(42.35925667, -71.06616333)"
N Washington St & Thacher St,
NE Beach and Washington (Q Hot spot restaurant),"(42.35159759, -71.0627522)"
NE Brookline Ave and Lansdowne,"(42.3473084, -71.09849386)"
NE corner Mass Ave. & Washington St.,"(42.33651515, -71.07681729)"
NE Corner of Lansdowne - In Front of Cask 'n Flagon,"(42.34728858, -71.09834902)"
NE corner of Lansdowne and Ipswich (La Verdad),"(42.3472243, -71.09445324)"
NE Deerfiled and Beacon (City Convenience),"(42.34907421, -71.09706099)"
NE Washington & Summer Street (in front of Macy's),"(42.35543176, -71.06036137)"
Needs location and station ID,"(42.34089, -71.0627287)"
Needs Station Location - Formerly at Game On - Brookline & Landsdowne,"(42.34712365, -71.09853408)"
New Chardon St and Merrimac (Gov't Center Parking garage),"(42.3630094, -71.05991393)"
New Sudbury Street & Cambridge St (Northbound) // Verizon Store,"(42.36111387, -71.06132818)"
Newbury & Mass Ave / Opposite of Urban Outfitters,"(42.3480288, -71.08803024)"
North and Cross,"(42.3621972, -71.0549343)"
North Ave Bridge @ Moakley Courthouse,"(42.35408047, -71.04839892)"
North Beacon & Market Street @ Dunkin Donuts,"(42.35609853, -71.14905478)"
North Boston Common on Tremont,"(42.35614409, -71.06292759)"
North side Ipswich - opp Fenway HS,"(42.34620479, -71.09556355)"
North St (Fanueil Hall),"(42.36053881, -71.05663783)"
North Street (North Side) @ Surface Road,"(42.361335, -71.05523377)"
"NOT AT 285 Commercial Street ""Across from parking lot""","(42.36494277, -71.05113072)"
NOT AT 535 Tremont Street(Searched blocks on 12-3-14,
NW Boylston and Ipswich (CVS),"(42.34529268, -71.09557276)"
NW Bromfield and Washington (opp Payless Shoes),"(42.35647066, -71.05946609)"
NW Brookline and Fullerton Street (Harvard Pilgram),"(42.34504844, -71.10090954)"
O St. @ East Broadway,"(42.33577, -71.02937)"
Oliver Street and Purchase Street,"(42.355418, -71.05206506)"
Opposite 144 Dartmouth St @ Back Bay T-Station,"(42.34754691, -71.07594325)"
Otis & Summer St (Qdobas),"(42.35425845, -71.05853408)"
Parkman Bandstand,"(42.35396, -71.06530667)"
Phillips Street Park,"(42.36044167, -71.06726333)"
Province St & School St (Across from Old City Hall Grounds),"(42.35768309, -71.05945611)"
Purchase and Summer Street  (west of South station),"(42.35293435, -71.05618526)"
Purchase St & Broad St,"(42.35728212, -71.05190568)"
Purchase St & Central St,"(42.35887924, -71.05236424)"
Purchase St & Oliver St,"(42.35521662, -71.05221516)"
Purchase St & Pearl St,"(42.35460501, -71.05329668)"
Queensberry & Jersey @ Laundry Center,"(42.3428624, -71.0970032)"
Recycler at Paul Revere Statue,"(42.365381, -71.053058)"
"Richmond and Atlantic St ""Living Room Restaurant""","(42.36168211, -71.05218361)"
Savin Hill Ave & S Sydney St.,"(42.3115937, -71.0536865)"
SE Beach and Washington (Pho Pastuer Restaurant),"(42.3515252, -71.0627117)"
SE Brookline & Newbury (opp Popeyes chicken),"(42.34818234, -71.09744473)"
SE Corner 148 Brookline Ave (in front of Chipotle),"(42.34476148, -71.10106409)"
SE corner of West Canton and Columbus,"(42.34483487, -71.0763413)"
Shawmut and Marginal,"(42.34783192, -71.06589526)"
South Ipswich and Vaness - Trolley stop,"(42.3458841, -71.09580897)"
South side Lansdowne St (opp House of Blues),"(42.34715868, -71.09569936)"
South side Van Ness St,"(42.34557184, -71.09708838)"
South St. @ Beach St.,"(42.3504072, -71.0567736)"
St James & Darmouth (Fairmont Hotel),"(42.34929014, -71.07679328)"
Stanhope St and Cahners St,"(42.34836919, -71.07315549)"
Stanhope St and Clarendon St (Across from Parking Garage),"(42.34812825, -71.07390013)"
State & Broad St (Dunkin),"(42.35912326, -71.05476392)"
State St & Surface Rd (in front of Old  Town Trolley Tours),"(42.35943121, -71.0524513)"
State St at Surface Rd,
Stuart and Tremont St (Opp Shanghai Restaurant),"(42.35093726, -71.06514335)"
Stuart St & Trinity St (Near Parking Garage),"(42.3486047, -71.0753806)"
Stuart St & Warrenton St,"(42.35093982, -71.06588898)"
Stuart St and Washington St- opposite corner from Tuft School of Dental Medicine,"(42.3509632, -71.0629771)"
Sudbury & Congress St (Opp Garage entrance),"(42.36229953, -71.05865555)"
Summer & Chaucey (7-11),"(42.35456767, -71.05912703)"
Summer & Chauncey (Rear Entrance Macy's),"(42.3545003, -71.0591524)"
Summer & Chauncy (CVS),"(42.35436489, -71.05918599)"
Summer & High St (Opp Radius Bar),"(42.35333613, -71.0568769)"
Summer & Kingston St (Copy&Print),"(42.35399223, -71.05857244)"
Summer St (NE Corner) @ Atlantic,"(42.35277118, -71.05535542)"
Summer St @ Men's Wear House,"(42.35484, -71.05955)"
Summer St @ Staples,"(42.3592067, -71.0588657)"
Summer st and Arch st,"(42.35448, -71.05907)"
Summer,
Surface & Hanover,"(42.3621424, -71.0564964)"
Surface and Lincoln St intersection (66 Lincoln),"(42.3522136, -71.0578415)"
Surface artery,
Surface rd.@Beach st.,"(42.35056419, -71.05675482)"
SW Causeway and Canal Street (Sovereign Bank),"(42.36532319, -71.06123823)"
SW Lansdowne and Ipswich,"(42.34704079, -71.09467976)"
SW N. Washington & Causeway,"(42.36671342, -71.05860344)"
SW Van Ness and Yawkey Way,"(42.34528598, -71.0984011)"
Tremont & Beacon St (Kings Chapel Burying Ground),"(42.35850775, -71.06016237)"
Tremont & Bromfield St  (Suffolk Law School),"(42.35708226, -71.06130118)"
Tremont & Calumet,"(42.33402261, -71.10463691)"
Tremont & St Alphonsus @ US Post Office,"(42.33311862, -71.1014096)"
Tremont 15 and Stuart St (Shanghai Restaurant),"(42.35118328, -71.06469595)"
Tremont 30th and Avery St (Loews Theatre),"(42.35328728, -71.06418228)"
Tremont @ Berkeley,"(42.3452651, -71.0698391)"
Tremont near Sal's Pizza,"(42.354595, -71.064225)"
Tremont st and School st,"(42.35805, -71.06033)"
Tremont Street & Court Street,"(42.35911123, -71.05951447)"
Unknown,"(42.3429057, -71.0576626)"
Valenti Square - Opposite 77 North Washington,"(42.36501743, -71.05842752)"
Washington & Winship @ Intersection Island,"(42.34901926, -71.15087532)"
Washington & Wirt (Brighton Center) / Next to Police Station,"(42.34912219, -71.15087141)"
Washington @ E.Mullins Way,"(42.3566, -71.05918)"
Washington @ E.Newton Outbound,"(42.33877077, -71.07359556)"
Washington across from Old South Meeting House,"(42.35707, -71.05862)"
Washington and Boylston (CVS),"(42.35253677, -71.06268501)"
Washington and Milk Boston Ma,"(42.35710853, -71.05877311)"
Washington and Stuart Street (Boston Kitchen Pizza),"(42.3510218, -71.0631478)"
Washington st / Macy's,"(42.35483, -71.06117)"
Washington St / School St,"(42.3574, -71.05836)"
Washington St and Chestnut (Frozen Custard Store),"(42.34881955, -71.15322756)"
Washington St and De Lafayette Ave,"(42.35393587, -71.06203662)"
Washington st at Expressions store,"(42.35465, -71.06139)"
Washington Street & Waldo Terrace / Brighton Center,"(42.34915242, -71.1522564)"
West Broadway T-Station @ Dot Ave & West Broadway,"(42.34266498, -71.05697971)"
West Newton & St Botolph,"(42.34481541, -71.08105375)"
West side of Yawkey Way in front of the pro shop,"(42.34552426, -71.09859042)"
Yawkey Way and Van Ness - Gate D,"(42.34558373, -71.09820418)"
